年,月,日,期号,红1,红2,红3,红4,红5,红6,蓝,销售额,一等奖,二等奖
2003 ,2 ,23 ,1,10,11,12,13,26,28,11,10307806,0,0
2003 ,2 ,27 ,2,4,9,19,20,21,26,12,7398870,0,0
2003 ,3 ,2 ,3,1,7,10,23,28,32,16,8917960,0,0
2003 ,3 ,6 ,4,4,6,7,10,13,25,3,9517794,0,0
2003 ,3 ,9 ,5,4,6,15,17,30,31,16,10661438,0,0
2003 ,3 ,13 ,6,1,3,10,21,26,27,6,10919658,0,0
2003 ,3 ,16 ,7,1,9,19,21,23,26,7,12124030,0,0
2003 ,3 ,20 ,8,5,8,9,14,17,23,8,11696278,0,0
2003 ,3 ,23 ,9,5,9,18,20,22,30,9,12386072,0,0
2003 ,3 ,27 ,10,1,2,8,13,17,24,13,12402130,0,0
2003 ,3 ,30 ,11,4,5,11,12,30,32,15,12782494,0,0
2003 ,4 ,3 ,12,2,12,16,17,27,30,12,12307262,0,0
2003 ,4 ,6 ,13,8,13,17,21,23,32,12,12611880,0,0
2003 ,4 ,10 ,14,3,5,7,8,21,31,2,12476130,0,0
2003 ,4 ,13 ,15,4,11,19,25,26,32,13,13460134,0,0
2003 ,4 ,17 ,16,11,17,28,30,31,33,6,13098324,0,0
2003 ,4 ,20 ,17,5,8,18,23,25,31,6,14451270,0,0
2003 ,4 ,24 ,18,5,16,19,20,25,28,13,14339392,0,0
2003 ,4 ,27 ,19,4,8,12,13,16,33,9,15159580,0,0
2003 ,5 ,1 ,20,7,10,25,26,27,32,4,14670860,0,0
2003 ,5 ,4 ,21,14,15,18,25,26,30,1,13537342,0,0
2003 ,5 ,8 ,22,2,7,11,12,14,32,8,13869188,0,0
2003 ,5 ,11 ,23,1,10,20,22,26,31,2,15374822,0,0
2003 ,5 ,15 ,24,2,7,15,17,22,30,14,15035104,0,0
2003 ,5 ,18 ,25,1,5,11,13,14,27,12,16536260,0,0
2003 ,5 ,22 ,26,8,13,15,26,29,31,16,16245314,0,0
2003 ,5 ,25 ,27,1,11,14,17,27,28,15,17626250,0,0
2003 ,5 ,29 ,28,6,13,16,20,28,32,7,17442014,0,0
2003 ,6 ,1 ,29,2,7,15,26,29,32,10,17515374,0,0
2003 ,6 ,5 ,30,2,6,13,14,23,27,7,16765384,0,0
2003 ,6 ,8 ,31,11,17,20,22,28,32,1,18101608,0,0
2003 ,6 ,12 ,32,4,11,25,27,29,30,13,20115568,0,0
2003 ,6 ,15 ,33,1,7,14,20,27,30,10,22266754,0,0
2003 ,6 ,19 ,34,8,13,14,16,23,25,14,22899946,0,0
2003 ,6 ,22 ,35,3,4,5,8,10,11,8,25179768,0,0
2003 ,6 ,26 ,36,7,21,24,25,27,28,15,25054376,0,0
2003 ,6 ,29 ,37,9,14,17,18,26,32,7,26257640,0,0
2003 ,7 ,3 ,38,5,7,8,24,25,27,16,26782590,0,0
2003 ,7 ,6 ,39,3,5,23,24,27,32,3,27694202,0,0
2003 ,7 ,10 ,40,4,5,6,12,14,23,16,27328054,0,0
